HomeTeam|AwayTeam|RollingAvg_Home_HS|RollingAvg_Home_HST|RollingAvg_Home_HF|RollingAvg_Home_HC|RollingAvg_Away_AS|RollingAvg_Away_AST|RollingAvg_Away_AF|RollingAvg_Away_AC|HomeTeam_Form|AwayTeam_Form|B365H|B365D|B365A|FTR
Juventus|Lazio|13.2|4.6|12.4|5.6|13.0|4.75|11.75|6.25|1.4|2.0|2.05|3.3|3.8|H
Empoli|Napoli|9.0|2.25|14.0|5.0|11.0|3.0|12.5|4.75|1.2|2.6|6.0|3.5|1.67|A
Lecce|Fiorentina|13.75|3.5|10.0|3.75|14.75|5.75|12.5|4.5|1.0|1.6|3.2|3.3|2.3|A
Venezia|Atalanta|12.333333333333334|4.0|9.333333333333334|2.6666666666666665|16.8|5.4|14.0|5.4|0.6|1.4|5.5|4.0|1.62|A
Cagliari|Torino|15.6|3.4|14.6|7.2|11.6|4.4|9.4|4.6|0.8|1.4|2.8|3.1|2.7|H
Roma|Inter|16.75|5.0|11.25|4.75|14.25|6.0|13.0|4.5|1.8|2.0|4.2|3.7|1.85|A
Verona|Monza|10.4|3.2|10.2|6.4|5.75|2.25|15.25|3.0|1.2|0.6|2.3|3.0|3.5|A
Udinese|Cagliari|10.8|3.4|13.8|4.4|11.0|2.0|12.0|5.0|1.2|1.4|2.2|3.3|3.3|H
Torino|Como|9.5|3.75|11.0|2.5|15.8|4.6|11.6|3.6|0.8|1.6|2.63|3.0|2.9|H
Napoli|Lecce|17.8|5.6|11.8|6.8|13.2|4.4|11.2|5.0|2.6|0.4|1.25|6.0|12.0|H
Atalanta|Verona|15.75|7.5|10.0|4.5|6.75|2.5|15.0|2.5|2.0|0.6|1.38|4.75|8.0|H
Parma|Empoli|13.0|4.2|10.8|5.2|7.2|2.6|16.4|3.6|0.6|1.0|2.15|3.3|3.5|D
Lazio|Genoa|13.6|5.6|12.2|6.4|8.25|1.25|12.5|3.25|1.8|0.4|1.53|4.2|6.25|H
Monza|Venezia|7.2|2.4|14.0|3.2|9.6|3.2|13.4|3.2|1.0|0.6|2.15|3.25|3.6|D
Inter|Juventus|16.8|5.8|9.0|9.2|11.0|4.0|12.0|4.25|2.0|1.8|1.72|3.5|5.0|D
Fiorentina|Roma|14.8|6.2|11.8|4.4|13.0|3.8|11.0|3.4|2.0|1.6|2.55|3.4|2.75|H
Cagliari|Bologna|16.0|3.4|15.0|7.6|12.2|5.0|15.0|3.8|1.4|1.4|3.0|3.25|2.35|A
Lecce|Verona|13.8|4.0|10.8|3.6|6.8|2.2|16.2|2.8|0.2|0.6|2.25|3.25|3.25|H
Milan|Napoli|14.0|6.0|8.8|6.4|10.6|3.2|11.2|4.0|2.4|2.6|2.45|3.4|2.8|A
Empoli|Inter|8.4|2.0|13.6|4.2|14.4|5.8|13.0|4.4|1.0|2.0|7.5|4.33|1.44|A
Venezia|Udinese|13.75|4.75|9.25|2.5|11.8|3.4|13.8|4.4|0.8|1.2|2.7|3.25|2.65|H
Atalanta|Monza|15.8|7.2|10.8|4.6|5.4|2.4|14.4|2.6|2.0|1.0|1.3|5.0|10.0|H
Juventus|Parma|15.6|4.0|11.4|7.0|14.4|4.4|9.6|6.4|1.8|0.8|1.4|4.75|8.0|D
Genoa|Fiorentina|12.4|3.8|11.6|3.4|14.2|5.4|12.0|4.4|0.2|2.6|4.2|3.9|1.8|A
Como|Lazio|15.75|5.0|13.75|5.75|13.2|5.2|13.0|6.0|1.4|1.8|2.88|3.3|2.45|A
Roma|Torino|15.4|4.6|11.2|4.4|11.2|4.2|11.0|5.2|1.4|1.2|1.7|3.8|5.0|H
Bologna|Lecce|16.0|3.6|14.0|7.4|12.4|3.6|11.6|4.0|1.8|0.6|1.62|3.5|6.5|H
Udinese|Juventus|11.4|3.2|13.2|5.6|11.0|4.2|12.4|4.0|1.2|1.8|4.2|3.2|1.95|A
Monza|Milan|7.8|2.4|16.4|2.2|15.4|6.4|12.4|6.0|1.0|1.8|5.0|3.6|1.7|A
Napoli|Atalanta|17.2|5.2|11.6|6.2|17.2|4.8|10.8|5.4|3.0|2.6|2.05|3.4|3.7|A
Torino|Fiorentina|9.4|3.2|12.0|2.2|13.0|4.6|12.6|3.2|0.6|2.6|3.2|3.3|2.25|A
Verona|Roma|10.2|2.8|10.4|6.6|13.2|3.8|11.8|3.2|0.6|1.4|5.0|3.5|1.8|H
Inter|Venezia|18.6|6.8|10.0|9.0|9.6|2.8|12.6|3.2|2.6|0.8|1.17|7.0|15.0|H
Empoli|Como|8.4|2.6|13.8|3.4|15.6|4.2|11.4|3.6|0.4|0.8|2.7|3.1|2.63|H
Parma|Genoa|13.0|3.2|8.8|5.0|9.6|2.4|13.6|4.0|0.8|0.2|1.85|3.4|4.33|A
Lazio|Cagliari|15.0|5.4|11.8|5.6|10.0|1.8|13.0|4.6|2.4|1.4|1.5|3.75|7.5|H
Genoa|Como|11.8|4.4|13.4|4.4|15.0|5.0|12.6|3.4|0.8|0.2|2.88|3.3|2.45|D
Lecce|Empoli|13.6|3.6|10.2|3.4|7.4|3.2|19.4|3.2|0.6|0.8|2.4|3.0|3.3|D
Venezia|Parma|13.4|5.0|9.2|3.2|13.8|4.6|10.4|6.8|0.8|0.8|2.55|3.4|2.7|A
Cagliari|Milan|17.0|3.8|14.0|7.8|14.6|6.6|12.0|4.8|0.8|1.8|5.5|4.1|1.6|D
Juventus|Torino|16.6|4.6|10.6|6.8|10.0|3.2|10.8|5.6|1.8|0.6|1.57|3.8|6.5|H
Atalanta|Udinese|15.4|6.6|9.6|4.6|13.2|4.2|13.6|4.4|3.0|1.2|1.38|5.0|7.5|H
